Frequency (Hz)	Level (dB)
0.976562	-117.314896
1.953125	-111.904037
2.929688	-104.142494
3.906250	-99.956680
4.882812	-99.324554
5.859375	-95.398521
6.835938	-94.482811
7.812500	-95.975899
8.789062	-94.071373
9.765625	-90.828026
10.742188	-87.363319
11.718750	-87.183266
12.695312	-86.926918
13.671875	-86.496925
14.648438	-86.603592
15.625000	-85.444649
16.601562	-85.328842
17.578125	-85.067673
18.554688	-83.815086
19.531250	-84.903046
20.507812	-84.996048
21.484375	-83.775459
22.460938	-81.720512
23.437500	-80.343849
24.414062	-81.594864
25.390625	-82.285576
26.367188	-82.147430
27.343750	-80.818657
28.320312	-81.607582
29.296875	-80.546593
30.273438	-80.988319
31.250000	-81.794945
32.226562	-82.578209
33.203125	-82.714317
34.179688	-83.620468
35.156250	-83.116562
36.132812	-81.594566
37.109375	-81.550583
38.085938	-82.934738
39.062500	-84.185173
40.039062	-83.103661
41.015625	-82.617958
41.992188	-81.965256
42.968750	-81.435585
43.945312	-81.663246
44.921875	-80.871407
45.898438	-80.449478
46.875000	-80.921303
47.851562	-82.083961
48.828125	-81.251526
49.804688	-79.847862
50.781250	-79.719872
51.757812	-78.741714
52.734375	-79.395111
53.710938	-78.903915
54.687500	-77.691582
55.664062	-77.957176
56.640625	-77.260246
57.617188	-77.339569
58.593750	-77.146690
59.570312	-76.570831
60.546875	-76.745659
61.523438	-76.694153
62.500000	-74.828293
63.476562	-76.166283
64.453125	-78.907776
65.429688	-80.516251
66.406250	-79.559174
67.382812	-80.081833
68.359375	-81.053284
69.335938	-79.778214
70.312500	-78.857399
71.289062	-78.661591
72.265625	-79.354019
73.242188	-78.903961
74.218750	-77.950279
75.195312	-77.488853
76.171875	-78.358696
77.148438	-78.952576
78.125000	-79.374458
79.101562	-79.240364
80.078125	-78.965019
81.054688	-79.480881
82.031250	-80.460831
83.007812	-79.131660
83.984375	-78.437973
84.960938	-78.088707
85.937500	-78.210648
86.914062	-78.543083
87.890625	-79.941246
88.867188	-79.617462
89.843750	-78.170364
90.820312	-77.970016
91.796875	-78.844452
92.773438	-78.616135
93.750000	-78.400719
94.726562	-79.819000
95.703125	-79.415642
96.679688	-78.802124
97.656250	-78.861351
98.632812	-78.652908
99.609375	-78.758835
100.585938	-78.654930
101.562500	-77.884636
102.539062	-78.256676
103.515625	-79.083183
104.492188	-78.265892
105.468750	-79.396805
106.445312	-78.531189
107.421875	-77.754860
108.398438	-77.878571
109.375000	-78.095627
110.351562	-77.460732
111.328125	-77.316940
112.304688	-78.061806
113.281250	-77.475342
114.257812	-76.750534
115.234375	-76.918167
116.210938	-76.570763
117.187500	-75.865044
118.164062	-73.482933
119.140625	-70.740685
120.117188	-68.116806
121.093750	-70.187500
122.070312	-73.144928
123.046875	-76.599983
124.023438	-77.103477
125.000000	-77.617760
125.976562	-77.517540
126.953125	-77.626053
127.929688	-77.410942
128.906250	-76.360542
129.882812	-76.094841
130.859375	-76.276588
131.835938	-76.611267
132.812500	-76.113388
