Frequency (Hz)	Level (dB)
15.625000	-72.980545
31.250000	-70.097191
46.875000	-67.890610
62.500000	-66.144188
78.125000	-66.742363
93.750000	-66.576859
109.375000	-64.168495
125.000000	-62.611774
140.625000	-62.747383
156.250000	-61.417198
171.875000	-59.679398
187.500000	-56.725395
203.125000	-52.353691
218.750000	-49.052910
234.375000	-49.525772
250.000000	-52.992657
265.625000	-56.317474
281.250000	-58.496738
296.875000	-59.778679
312.500000	-60.625217
328.125000	-60.755463
343.750000	-60.621979
359.375000	-60.154755
375.000000	-59.083294
390.625000	-57.589756
406.250000	-55.129539
421.875000	-51.307594
437.500000	-47.493343
453.125000	-46.934788
468.750000	-50.044975
484.375000	-53.931866
500.000000	-56.217255
515.625000	-57.948635
531.250000	-58.705933
546.875000	-59.149639
562.500000	-59.162186
578.125000	-58.723591
593.750000	-57.908741
609.375000	-56.723972
625.000000	-54.743530
640.625000	-51.453144
656.250000	-47.505341
671.875000	-45.257893
687.500000	-46.957958
703.125000	-50.865757
718.750000	-53.829922
734.375000	-55.908207
750.000000	-57.333885
765.625000	-57.645325
781.250000	-57.840656
796.875000	-57.421963
812.500000	-56.602470
828.125000	-55.532883
843.750000	-53.865826
859.375000	-50.618294
875.000000	-46.298935
890.625000	-43.355350
906.250000	-44.690521
921.875000	-49.177940
937.500000	-52.428928
953.125000	-54.342503
968.750000	-55.254261
984.375000	-56.084087
1000.000000	-56.385670
1015.625000	-56.136856
1031.250000	-55.651821
1046.875000	-54.507126
1062.500000	-52.789234
1078.125000	-49.900623
1093.750000	-45.257450
1109.375000	-41.298637
1125.000000	-41.500778
1140.625000	-45.552532
1156.250000	-49.890743
1171.875000	-52.852219
1187.500000	-54.482201
1203.125000	-55.549229
1218.750000	-55.793003
1234.375000	-55.565506
1250.000000	-54.852959
1265.625000	-53.765308
1281.250000	-52.436760
1296.875000	-50.239246
1312.500000	-46.349243
1328.125000	-41.773197
1343.750000	-40.388630
1359.375000	-43.458263
1375.000000	-47.879978
1390.625000	-50.590694
1406.250000	-52.054920
1421.875000	-53.257698
1437.500000	-53.658432
1453.125000	-53.727364
1468.750000	-53.330818
1484.375000	-52.412235
1500.000000	-50.809715
1515.625000	-48.802559
1531.250000	-45.366837
1546.875000	-40.799698
1562.500000	-38.553844
1578.125000	-40.592812
1593.750000	-44.846653
1609.375000	-48.031570
1625.000000	-49.732849
1640.625000	-50.817074
1656.250000	-51.438194
1671.875000	-51.832062
1687.500000	-51.515278
1703.125000	-50.611435
1718.750000	-49.527473
1734.375000	-47.331871
1750.000000	-43.958847
1765.625000	-39.695934
1781.250000	-36.768837
1796.875000	-38.066734
1812.500000	-42.268856
1828.125000	-45.386192
1843.750000	-47.252892
1859.375000	-48.830013
1875.000000	-49.485397
1890.625000	-49.563030
1906.250000	-49.106419
1921.875000	-48.606487
1937.500000	-47.495285
1953.125000	-45.413799
1968.750000	-42.575836
1984.375000	-38.517921
2000.000000	-35.059784
2015.625000	-35.324387
2031.250000	-38.890049
2046.875000	-42.322132
2062.500000	-44.566517
2078.125000	-45.864452
2093.750000	-46.526634
2109.375000	-46.929920
2125.000000	-46.777950
2140.625000	-46.356853
2156.250000	-45.410320
2171.875000	-43.787868
2187.500000	-41.086147
2203.125000	-37.057896
2218.750000	-32.855309
2234.375000	-32.131184
2250.000000	-35.239616
2265.625000	-38.955132
2281.250000	-41.343925
2296.875000	-42.968285
2312.500000	-44.169487
2328.125000	-44.454525
2343.750000	-44.454994
2359.375000	-44.025070
2375.000000	-43.024792
2390.625000	-41.366611
2406.250000	-38.798862
2421.875000	-35.551117
2437.500000	-31.867081
2453.125000	-30.172056
2468.750000	-32.148621
2484.375000	-35.963642
2500.000000	-38.399445
2515.625000	-40.174721
2531.250000	-41.411526
2546.875000	-41.932487
2562.500000	-41.844814
2578.125000	-41.547119
2593.750000	-40.689255
2609.375000	-39.327278
2625.000000	-37.103394
2640.625000	-34.419960
2656.250000	-31.000492
2671.875000	-28.736923
2687.500000	-29.875689
2703.125000	-32.987728
2718.750000	-35.793205
2734.375000	-37.858219
2750.000000	-38.974377
2765.625000	-39.350079
2781.250000	-39.569897
2796.875000	-39.457050
2812.500000	-38.751019
2828.125000	-37.686466
2843.750000	-36.037891
2859.375000	-33.513428
2875.000000	-30.265774
2890.625000	-27.807169
2906.250000	-27.878597
2921.875000	-30.596508
2937.500000	-33.661674
2953.125000	-35.686962
2968.750000	-37.233028
2984.375000	-38.162247
3000.000000	-38.436649
3015.625000	-38.208584
3031.250000	-37.855270
3046.875000	-36.793667
3062.500000	-35.444462
3078.125000	-33.471161
3093.750000	-30.641424
3109.375000	-28.029411
3125.000000	-27.554111
3140.625000	-29.111727
3156.250000	-31.791698
3171.875000	-34.333481
3187.500000	-36.111397
3203.125000	-37.323818
3218.750000	-37.823048
3234.375000	-37.845440
3250.000000	-37.670837
3265.625000	-36.823765
3281.250000	-35.784744
3296.875000	-34.100609
3312.500000	-31.756218
3328.125000	-29.127789
3343.750000	-27.574886
3359.375000	-28.692553
3375.000000	-31.369913
3390.625000	-34.124771
3406.250000	-35.939426
3421.875000	-37.407871
3437.500000	-38.165104
3453.125000	-38.157516
3468.750000	-38.128574
3484.375000	-37.721626
3500.000000	-36.680595
3515.625000	-34.992229
3531.250000	-32.955063
3546.875000	-30.020088
3562.500000	-28.185621
3578.125000	-28.869354
3593.750000	-31.434267
3609.375000	-34.062317
3625.000000	-36.115166
3640.625000	-37.545033
3656.250000	-38.281021
