Frequency (Hz)	Level (dB)
0.976562	-116.277351
1.953125	-110.773582
2.929688	-103.331863
3.906250	-99.773567
4.882812	-99.603737
5.859375	-95.473869
6.835938	-94.444687
7.812500	-96.105637
8.789062	-94.313606
9.765625	-91.636177
10.742188	-87.835114
11.718750	-86.117653
12.695312	-86.574837
13.671875	-87.185738
14.648438	-87.256958
15.625000	-86.633240
16.601562	-86.799988
17.578125	-87.169617
18.554688	-85.737579
19.531250	-85.097168
20.507812	-84.897079
21.484375	-83.014000
22.460938	-82.912674
23.437500	-82.581291
24.414062	-83.150429
25.390625	-82.909676
26.367188	-82.868996
27.343750	-82.643059
28.320312	-82.015465
29.296875	-82.137260
30.273438	-82.466362
31.250000	-82.685204
32.226562	-83.058235
33.203125	-83.554749
34.179688	-83.973282
35.156250	-83.026260
36.132812	-82.018105
37.109375	-81.943291
38.085938	-83.272743
39.062500	-83.785522
40.039062	-83.067223
41.015625	-82.219788
41.992188	-82.227951
42.968750	-82.769379
43.945312	-82.906090
44.921875	-82.524452
45.898438	-82.345253
46.875000	-82.036888
47.851562	-82.203003
48.828125	-81.278244
49.804688	-80.087555
50.781250	-80.035522
51.757812	-79.495728
52.734375	-79.550507
53.710938	-79.854546
54.687500	-78.949455
55.664062	-79.134605
56.640625	-78.472870
57.617188	-78.910812
58.593750	-78.533432
59.570312	-77.534760
60.546875	-77.822098
61.523438	-79.191299
62.500000	-77.053444
63.476562	-76.691193
64.453125	-79.295418
65.429688	-81.779678
66.406250	-82.375664
67.382812	-81.915703
68.359375	-81.766670
69.335938	-80.779045
70.312500	-80.276405
71.289062	-80.572105
72.265625	-79.250298
73.242188	-78.951279
74.218750	-78.808640
75.195312	-78.816597
76.171875	-80.319527
77.148438	-81.402405
78.125000	-81.125778
79.101562	-81.421196
80.078125	-81.153313
81.054688	-81.276360
82.031250	-81.727692
83.007812	-81.612495
83.984375	-80.250237
84.960938	-79.074745
85.937500	-79.110886
86.914062	-80.159470
87.890625	-81.094467
88.867188	-81.452576
89.843750	-80.075745
90.820312	-79.743156
91.796875	-80.308037
92.773438	-80.870674
93.750000	-81.038734
94.726562	-81.562653
95.703125	-80.977959
96.679688	-80.523979
97.656250	-79.748199
98.632812	-79.757774
99.609375	-80.423477
100.585938	-81.504684
101.562500	-80.397964
102.539062	-80.091309
103.515625	-81.154999
104.492188	-80.384613
105.468750	-80.112419
106.445312	-80.144211
107.421875	-80.966408
108.398438	-81.042244
109.375000	-80.698463
110.351562	-80.689598
111.328125	-80.855743
112.304688	-80.611641
113.281250	-79.140152
114.257812	-79.100960
115.234375	-80.399567
116.210938	-80.263420
117.187500	-79.963890
118.164062	-78.697403
119.140625	-75.974304
120.117188	-73.381790
121.093750	-75.790657
122.070312	-78.337662
123.046875	-79.797089
124.023438	-80.184525
125.000000	-81.023933
125.976562	-80.653152
126.953125	-80.032372
127.929688	-80.091316
128.906250	-79.500542
129.882812	-79.693954
130.859375	-80.014183
131.835938	-80.362083
132.812500	-80.056328
133.789062	-79.648170
134.765625	-79.904762
135.742188	-79.919304
136.718750	-80.064629
137.695312	-79.684410
138.671875	-80.204697
139.648438	-79.721176
140.625000	-79.985687
141.601562	-79.230530
142.578125	-79.151443
143.554688	-79.599640
144.531250	-78.965851
145.507812	-78.444710
146.484375	-78.801910
147.460938	-78.759186
148.437500	-78.748695
149.414062	-80.018349
150.390625	-79.874886
151.367188	-79.437950
152.343750	-79.167244
153.320312	-78.919731
154.296875	-79.765335
155.273438	-79.713875
156.250000	-78.874321
157.226562	-78.841339
158.203125	-79.244202
159.179688	-78.850670
160.156250	-78.553566
161.132812	-79.933807
162.109375	-79.309532
