Frequency (Hz)	Level (dB)
15.625000	-73.840240
31.250000	-70.914948
46.875000	-68.769112
62.500000	-67.371552
78.125000	-68.182755
93.750000	-68.436417
109.375000	-67.577881
125.000000	-66.897881
140.625000	-67.350647
156.250000	-66.995438
171.875000	-66.399742
187.500000	-65.598183
203.125000	-64.103539
218.750000	-62.319138
234.375000	-60.108166
250.000000	-56.973892
265.625000	-53.198952
281.250000	-50.342361
296.875000	-50.816040
312.500000	-54.197136
328.125000	-57.339714
343.750000	-59.729019
359.375000	-61.295967
375.000000	-62.267578
390.625000	-63.070686
406.250000	-63.515732
421.875000	-63.501854
437.500000	-63.382576
453.125000	-63.090710
468.750000	-62.555965
484.375000	-61.549007
500.000000	-60.205612
515.625000	-58.651062
531.250000	-55.858894
546.875000	-52.249836
562.500000	-48.931152
578.125000	-48.327847
593.750000	-51.143093
609.375000	-54.742859
625.000000	-57.481335
640.625000	-59.118263
656.250000	-60.338299
671.875000	-61.152260
687.500000	-61.540939
703.125000	-61.746891
718.750000	-61.683067
734.375000	-61.552589
750.000000	-61.243679
765.625000	-60.121235
781.250000	-59.058002
796.875000	-57.404968
812.500000	-55.191982
828.125000	-52.202618
843.750000	-48.553204
859.375000	-46.408375
875.000000	-47.808338
890.625000	-51.315197
906.250000	-54.106884
921.875000	-56.446602
937.500000	-57.957809
953.125000	-58.992245
968.750000	-59.364777
984.375000	-59.860886
1000.000000	-59.971428
1015.625000	-59.687759
1031.250000	-59.381733
1046.875000	-58.565674
1062.500000	-57.540985
1078.125000	-55.947105
1093.750000	-53.575043
1109.375000	-50.604881
1125.000000	-46.821941
1140.625000	-44.592079
1156.250000	-46.037415
1171.875000	-49.707420
1187.500000	-52.907722
1203.125000	-55.310944
1218.750000	-56.710915
1234.375000	-57.628742
1250.000000	-58.094284
1265.625000	-58.400784
1281.250000	-58.707752
1296.875000	-58.880432
1312.500000	-58.408134
1328.125000	-57.589481
1343.750000	-56.613361
1359.375000	-55.412872
1375.000000	-53.631001
1390.625000	-50.618404
1406.250000	-46.823624
1421.875000	-43.464710
1437.500000	-43.100422
1453.125000	-46.054268
1468.750000	-49.694374
1484.375000	-52.360489
1500.000000	-53.914356
1515.625000	-55.245975
1531.250000	-56.063286
1546.875000	-56.515541
1562.500000	-56.700340
1578.125000	-56.470131
1593.750000	-56.251083
1609.375000	-55.695900
1625.000000	-54.690571
1640.625000	-53.413593
1656.250000	-51.840656
1671.875000	-49.800652
1687.500000	-46.464340
1703.125000	-42.692741
1718.750000	-41.156284
1734.375000	-42.874283
1750.000000	-46.289330
1765.625000	-49.168465
1781.250000	-51.402710
1796.875000	-52.735691
1812.500000	-53.671368
1828.125000	-53.952747
1843.750000	-54.171555
1859.375000	-54.585041
1875.000000	-54.310661
1890.625000	-53.652657
1906.250000	-52.633938
1921.875000	-51.722424
1937.500000	-50.284355
1953.125000	-47.943485
1968.750000	-44.945713
1984.375000	-41.253929
2000.000000	-38.843414
2015.625000	-39.780861
2031.250000	-43.044914
2046.875000	-46.012207
2062.500000	-48.185047
2078.125000	-49.621948
2093.750000	-50.533482
2109.375000	-51.281971
2125.000000	-51.616257
2140.625000	-51.842815
2156.250000	-51.786419
2171.875000	-51.366257
2187.500000	-50.520832
2203.125000	-49.215355
2218.750000	-47.508415
2234.375000	-45.733452
2250.000000	-43.080845
2265.625000	-39.307022
2281.250000	-36.449978
2296.875000	-36.588253
2312.500000	-39.750362
2328.125000	-42.995697
2343.750000	-45.262943
2359.375000	-46.938965
2375.000000	-47.959270
2390.625000	-48.579357
2406.250000	-48.660130
2421.875000	-48.791084
2437.500000	-48.925327
2453.125000	-48.542000
2468.750000	-47.950798
2484.375000	-46.991692
2500.000000	-45.407688
2515.625000	-43.778992
2531.250000	-41.536304
2546.875000	-38.129250
2562.500000	-34.746872
2578.125000	-34.000725
2593.750000	-36.123055
2609.375000	-39.340130
2625.000000	-41.646267
2640.625000	-43.441414
2656.250000	-44.859943
2671.875000	-45.612972
2687.500000	-46.212490
2703.125000	-46.531311
2718.750000	-46.485111
2734.375000	-46.414364
2750.000000	-45.726288
2765.625000	-44.700798
2781.250000	-43.579060
2796.875000	-42.091900
2812.500000	-39.887051
2828.125000	-37.125046
2843.750000	-33.807026
2859.375000	-32.005585
2875.000000	-32.990128
2890.625000	-35.896832
2906.250000	-38.559608
2921.875000	-40.678593
2937.500000	-42.298012
2953.125000	-43.254551
2968.750000	-44.061546
2984.375000	-44.483215
3000.000000	-44.454842
3015.625000	-44.105648
3031.250000	-43.779312
3046.875000	-42.910275
3062.500000	-41.950550
3078.125000	-40.669353
3093.750000	-38.701847
3109.375000	-36.316238
3125.000000	-33.469925
3140.625000	-30.938066
3156.250000	-31.080851
3171.875000	-33.608280
3187.500000	-36.543110
3203.125000	-38.953827
3218.750000	-40.510063
3234.375000	-41.527451
3250.000000	-42.408577
3265.625000	-42.777958
3281.250000	-43.075584
3296.875000	-43.205902
3312.500000	-43.068607
3328.125000	-42.744503
3343.750000	-41.693024
3359.375000	-40.444832
3375.000000	-38.960621
3390.625000	-36.940247
3406.250000	-34.190025
3421.875000	-31.813478
3437.500000	-30.985376
3453.125000	-32.420727
3468.750000	-35.255989
3484.375000	-38.003788
3500.000000	-39.955952
3515.625000	-41.151707
3531.250000	-42.380337
3546.875000	-42.979038
3562.500000	-43.373341
3578.125000	-43.646542
3593.750000	-43.499496
3609.375000	-43.089119
3625.000000	-42.495975
3640.625000	-41.549488
3656.250000	-40.083027
3671.875000	-38.119324
3687.500000	-35.567520
3703.125000	-32.909233
3718.750000	-31.506430
3734.375000	-32.561409
3750.000000	-35.585331
3765.625000	-38.365276
3781.250000	-40.367687
3796.875000	-41.928387
3812.500000	-42.892925
3828.125000	-43.612961
3843.750000	-44.064358
3859.375000	-44.327827
3875.000000	-44.282036
3890.625000	-44.205349
3906.250000	-43.635452
3921.875000	-42.515965
3937.500000	-41.240681
3953.125000	-39.707699
3968.750000	-37.304230
3984.375000	-34.619621
4000.000000	-32.784229
4015.625000	-33.034248
4031.250000	-35.480473
4046.875000	-38.317326
4062.500000	-40.400101
4078.125000	-42.133686
4093.750000	-43.501205
4109.375000	-44.346424
4125.000000	-44.972584
4140.625000	-45.264839
4156.250000	-45.288605
4171.875000	-45.020969
4187.500000	-44.219990
4203.125000	-43.298065
4218.750000	-42.195362
4234.375000	-40.409199
4250.000000	-38.354633
4265.625000	-35.871330
4281.250000	-33.784962
4296.875000	-33.672344
4312.500000	-35.605858
4328.125000	-38.377750
4343.750000	-40.784256
4359.375000	-42.585091
4375.000000	-43.959621
4390.625000	-44.642956
4406.250000	-45.313465
4421.875000	-45.446278
4437.500000	-45.470592
4453.125000	-45.405209
4468.750000	-44.648422
4484.375000	-44.094387
4500.000000	-43.074825
4515.625000	-41.574692
4531.250000	-39.397774
4546.875000	-36.751083
4562.500000	-34.255264
4578.125000	-33.856300
4593.750000	-35.533791
4609.375000	-37.963470
4625.000000	-40.646935
4640.625000	-42.341305
4656.250000	-43.632988
4671.875000	-44.639164
4687.500000	-45.260323
4703.125000	-45.558392
4718.750000	-45.748699
4734.375000	-45.440376
4750.000000	-45.022446
4765.625000	-44.282505
4781.250000	-43.071598
4796.875000	-41.736477
4812.500000	-39.736874
4828.125000	-37.269974
4843.750000	-35.318020
4859.375000	-34.633949
4875.000000	-35.550270
4890.625000	-37.763054
4906.250000	-39.963768
4921.875000	-41.923500
4937.500000	-43.059109
4953.125000	-44.018257
4968.750000	-44.370655
4984.375000	-44.886662
5000.000000	-45.005398
5015.625000	-44.825539
5031.250000	-44.459106
5046.875000	-43.813854
5062.500000	-42.835518
5078.125000	-41.340588
5093.750000	-39.531483
5109.375000	-37.434078
5125.000000	-35.353062
5140.625000	-34.554886
5156.250000	-35.463169
5171.875000	-37.267830
5187.500000	-39.239159
5203.125000	-40.774536
5218.750000	-41.816292
5234.375000	-42.607254
5250.000000	-43.383591
5265.625000	-43.691872
5281.250000	-43.795811
5296.875000	-43.538021
5312.500000	-43.118153
5328.125000	-42.354549
5343.750000	-41.387901
5359.375000	-40.119682
5375.000000	-38.809925
5390.625000	-37.058174
5406.250000	-35.001091
5421.875000	-34.291721
5437.500000	-35.141735
5453.125000	-36.553036
5468.750000	-38.170174
5484.375000	-39.608490
5500.000000	-40.708408
5515.625000	-41.326168
5531.250000	-41.722240
5546.875000	-42.282787
5562.500000	-42.388702
5578.125000	-42.047218
5593.750000	-41.307331
5609.375000	-40.521671
5625.000000	-39.525131
5640.625000	-38.567726
5656.250000	-36.883411
5671.875000	-35.677437
5687.500000	-34.464157
5703.125000	-34.049686
5718.750000	-34.685760
5734.375000	-35.807949
5750.000000	-37.003300
5765.625000	-37.989426
5781.250000	-38.698765
5796.875000	-39.040749
5812.500000	-39.404121
5828.125000	-39.598228
5843.750000	-39.699043
5859.375000	-39.315430
5875.000000	-38.857830
5890.625000	-38.389488
5906.250000	-37.577347
5921.875000	-36.602123
5937.500000	-36.107582
5953.125000	-35.543552
5968.750000	-35.510719
5984.375000	-35.444862
6000.000000	-35.728897
6015.625000	-36.061634
6031.250000	-36.462589
6046.875000	-36.819008
6062.500000	-37.159950
6078.125000	-37.298630
6093.750000	-37.407627
6109.375000	-37.563545
6125.000000	-37.588818
6140.625000	-37.832867
6156.250000	-37.859001
6171.875000	-38.101158
6187.500000	-38.404240
6203.125000	-38.454197
6218.750000	-38.763294
6234.375000	-38.893509
6250.000000	-38.731018
6265.625000	-38.576252
6281.250000	-38.493298
6296.875000	-38.175484
6312.500000	-38.008369
6328.125000	-37.690220
6343.750000	-37.192978
6359.375000	-37.458065
6375.000000	-37.952599
6390.625000	-38.994968
6406.250000	-39.976669
6421.875000	-41.096909
6437.500000	-42.077072
6453.125000	-42.881405
6468.750000	-43.603977
6484.375000	-44.269001
6500.000000	-44.451374
6515.625000	-44.518494
6531.250000	-44.590282
6546.875000	-44.455612
6562.500000	-43.616039
6578.125000	-43.030827
6593.750000	-42.056778
6609.375000	-41.377129
6625.000000	-41.330086
6640.625000	-41.833412
6656.250000	-43.059971
6671.875000	-44.724304
6687.500000	-46.424721
6703.125000	-47.875023
6718.750000	-49.267681
6734.375000	-50.408962
6750.000000	-51.036282
6765.625000	-51.368328
6781.250000	-51.909050
6796.875000	-52.183968
6812.500000	-52.196995
6828.125000	-51.896557
6843.750000	-51.120316
6859.375000	-50.212982
6875.000000	-49.310482
6890.625000	-48.214466
6906.250000	-47.829933
6921.875000	-48.758968
6937.500000	-50.582657
6953.125000	-53.173798
6968.750000	-55.087147
6984.375000	-56.858150
7000.000000	-58.591637
7015.625000	-59.637745
7031.250000	-60.536545
7046.875000	-61.197479
7062.500000	-61.895283
7078.125000	-62.235672
7093.750000	-62.316631
7109.375000	-62.110580
7125.000000	-61.733715
7140.625000	-61.000843
7156.250000	-60.019909
7171.875000	-59.028244
