Frequency (Hz)	Level (dB)
0.976562	-117.249870
1.953125	-111.126770
2.929688	-104.447708
3.906250	-100.108093
4.882812	-98.643333
5.859375	-95.142876
6.835938	-93.652512
7.812500	-95.293228
8.789062	-93.779732
9.765625	-90.431015
10.742188	-86.897690
11.718750	-85.602425
12.695312	-85.624809
13.671875	-85.848465
14.648438	-86.362968
15.625000	-85.827667
16.601562	-86.277435
17.578125	-86.184448
18.554688	-83.688797
19.531250	-83.566399
20.507812	-83.211327
21.484375	-81.943611
22.460938	-81.914299
23.437500	-81.372025
24.414062	-82.470688
25.390625	-82.400284
26.367188	-81.903458
27.343750	-81.382347
28.320312	-81.006744
29.296875	-81.659561
30.273438	-81.606926
31.250000	-81.710640
32.226562	-82.910759
33.203125	-83.114723
34.179688	-82.221046
35.156250	-82.366692
36.132812	-82.519478
37.109375	-82.150543
38.085938	-82.466286
39.062500	-81.811401
40.039062	-82.510597
41.015625	-81.660782
41.992188	-81.970840
42.968750	-81.829506
43.945312	-82.234543
44.921875	-81.433250
45.898438	-81.499557
46.875000	-80.596817
47.851562	-80.910347
48.828125	-80.409004
49.804688	-80.278587
50.781250	-80.008499
51.757812	-79.580200
52.734375	-78.847931
53.710938	-78.017418
54.687500	-78.116600
55.664062	-77.665421
56.640625	-76.764801
57.617188	-76.279892
58.593750	-76.876244
59.570312	-76.315552
60.546875	-76.476448
61.523438	-76.868019
62.500000	-75.796013
63.476562	-76.361404
64.453125	-78.354156
65.429688	-79.676781
66.406250	-79.398743
67.382812	-79.761497
68.359375	-79.736725
69.335938	-79.152702
70.312500	-78.629570
71.289062	-79.052834
72.265625	-79.185837
73.242188	-78.214485
74.218750	-77.962677
75.195312	-78.386536
76.171875	-79.507538
77.148438	-80.144485
78.125000	-80.381897
79.101562	-79.966957
80.078125	-79.547379
81.054688	-80.334694
82.031250	-80.831367
83.007812	-80.329872
83.984375	-79.763008
84.960938	-78.884506
85.937500	-79.600067
86.914062	-78.993370
87.890625	-79.879669
88.867188	-80.282372
89.843750	-79.650887
90.820312	-79.519783
91.796875	-79.977264
92.773438	-79.466064
93.750000	-79.446976
94.726562	-79.935722
95.703125	-79.497787
96.679688	-79.372658
97.656250	-79.413063
98.632812	-79.294403
99.609375	-78.971336
100.585938	-79.311401
101.562500	-78.589279
102.539062	-78.677795
103.515625	-80.517441
104.492188	-79.623390
105.468750	-79.592644
106.445312	-78.993668
107.421875	-79.378967
108.398438	-79.611214
109.375000	-79.536713
110.351562	-78.646790
111.328125	-78.893112
112.304688	-79.464470
113.281250	-78.745079
114.257812	-77.995422
115.234375	-78.727814
116.210938	-78.298683
117.187500	-78.264511
118.164062	-76.323433
119.140625	-75.411362
120.117188	-74.758781
121.093750	-77.233490
122.070312	-76.380066
123.046875	-78.141457
124.023438	-78.646767
125.000000	-79.256042
125.976562	-79.412064
126.953125	-78.316765
127.929688	-78.841095
128.906250	-78.749695
129.882812	-78.529228
130.859375	-78.753738
131.835938	-79.006744
132.812500	-78.302628
133.789062	-78.108444
134.765625	-78.475204
135.742188	-78.398735
136.718750	-77.858810
137.695312	-77.829521
138.671875	-77.924995
139.648438	-78.028992
140.625000	-78.109718
141.601562	-77.408257
142.578125	-77.113503
143.554688	-77.500656
144.531250	-77.088562
145.507812	-76.693855
146.484375	-76.975105
147.460938	-76.897919
148.437500	-76.869057
149.414062	-77.721642
150.390625	-77.311226
151.367188	-76.986229
152.343750	-76.831993
153.320312	-76.724953
154.296875	-77.409065
155.273438	-77.820351
156.250000	-76.707474
157.226562	-76.797119
158.203125	-76.921188
159.179688	-76.447495
160.156250	-76.132401
161.132812	-77.805267
162.109375	-76.797234
163.085938	-76.010292
164.062500	-76.059166
165.039062	-76.992828
166.015625	-76.440186
166.992188	-76.010529
167.968750	-76.598038
168.945312	-76.178482
