Frequency (Hz)	Level (dB)
15.625000	-72.975319
31.250000	-70.193031
46.875000	-67.872025
62.500000	-66.123993
78.125000	-67.054993
93.750000	-67.393898
109.375000	-66.495026
125.000000	-65.738792
140.625000	-65.549240
156.250000	-64.869133
171.875000	-64.081985
187.500000	-62.962433
203.125000	-61.129097
218.750000	-58.540760
234.375000	-55.231617
250.000000	-51.541759
265.625000	-50.021160
281.250000	-51.708481
296.875000	-55.003120
312.500000	-57.861816
328.125000	-59.622959
343.750000	-60.942120
359.375000	-61.830631
375.000000	-62.181889
390.625000	-62.415989
406.250000	-62.363335
421.875000	-61.858883
437.500000	-61.156754
453.125000	-60.122654
468.750000	-58.637081
484.375000	-56.285263
500.000000	-53.243259
515.625000	-49.964787
531.250000	-48.283161
546.875000	-49.941345
562.500000	-53.244728
578.125000	-55.921764
593.750000	-57.833157
609.375000	-59.300022
625.000000	-60.364777
640.625000	-60.839890
656.250000	-61.103779
671.875000	-60.943756
687.500000	-60.389156
703.125000	-59.612282
718.750000	-58.553654
734.375000	-57.193203
750.000000	-55.255733
765.625000	-52.064709
781.250000	-48.597404
796.875000	-46.493301
812.500000	-47.711285
828.125000	-51.048447
843.750000	-54.049580
859.375000	-56.096142
875.000000	-57.617096
890.625000	-58.443733
906.250000	-58.777321
921.875000	-59.268982
937.500000	-59.177292
953.125000	-58.754761
968.750000	-57.814205
984.375000	-56.903652
1000.000000	-55.377640
1015.625000	-53.146805
1031.250000	-50.155544
1046.875000	-46.676624
1062.500000	-45.235542
1078.125000	-46.813820
1093.750000	-49.750999
1109.375000	-52.351631
1125.000000	-54.168934
1140.625000	-55.489742
1156.250000	-56.759872
1171.875000	-57.739540
1187.500000	-58.146572
1203.125000	-58.291130
1218.750000	-57.841545
1234.375000	-57.004295
1250.000000	-55.740166
1265.625000	-54.104523
1281.250000	-52.191193
1296.875000	-49.304634
1312.500000	-45.511402
1328.125000	-43.377415
1343.750000	-44.733601
1359.375000	-48.328075
1375.000000	-51.457703
1390.625000	-53.383202
1406.250000	-54.487865
1421.875000	-55.542530
1437.500000	-55.967453
1453.125000	-56.219242
1468.750000	-56.183056
1484.375000	-55.769295
1500.000000	-54.844101
1515.625000	-53.951309
1531.250000	-52.454861
1546.875000	-50.333523
1562.500000	-47.320148
1578.125000	-43.477001
1593.750000	-41.519447
1609.375000	-42.738762
1625.000000	-45.810654
1640.625000	-48.785469
1656.250000	-50.885677
1671.875000	-52.590805
1687.500000	-53.546257
1703.125000	-53.944473
1718.750000	-54.386642
1734.375000	-54.119678
1750.000000	-53.533588
1765.625000	-52.947250
1781.250000	-52.014442
1796.875000	-50.388836
1812.500000	-48.285709
1828.125000	-44.974369
1843.750000	-41.467045
1859.375000	-39.671677
1875.000000	-40.835327
1890.625000	-43.904568
1906.250000	-46.598461
1921.875000	-48.688961
1937.500000	-50.238552
1953.125000	-50.925453
1968.750000	-51.319805
1984.375000	-51.580662
2000.000000	-51.593369
2015.625000	-51.213852
2031.250000	-50.446476
2046.875000	-49.289032
2062.500000	-47.629608
2078.125000	-45.408268
2093.750000	-42.245934
2109.375000	-38.916199
2125.000000	-37.158997
2140.625000	-38.644794
2156.250000	-41.981522
2171.875000	-44.702324
2187.500000	-46.527962
2203.125000	-47.553265
2218.750000	-48.139294
2234.375000	-48.765739
2250.000000	-49.109283
2265.625000	-48.874798
2281.250000	-48.336845
2296.875000	-47.634739
2312.500000	-46.857922
2328.125000	-45.147991
2343.750000	-43.096909
2359.375000	-40.147644
2375.000000	-36.880745
2390.625000	-35.101013
2406.250000	-35.923347
2421.875000	-38.824726
2437.500000	-41.668736
2453.125000	-43.607040
2468.750000	-44.927502
2484.375000	-45.812229
2500.000000	-46.028080
2515.625000	-46.312550
2531.250000	-46.393795
2546.875000	-45.977119
2562.500000	-45.104397
2578.125000	-44.097836
2593.750000	-42.546047
2609.375000	-40.409145
2625.000000	-37.390480
2640.625000	-34.417702
2656.250000	-32.845768
2671.875000	-33.728134
2687.500000	-36.552250
2703.125000	-39.243279
2718.750000	-41.111721
2734.375000	-42.592762
2750.000000	-43.358521
2765.625000	-43.586407
2781.250000	-43.804665
2796.875000	-43.798943
2812.500000	-43.333874
2828.125000	-42.693546
2843.750000	-41.714779
2859.375000	-40.221371
2875.000000	-38.129711
2890.625000	-35.418617
2906.250000	-32.533272
2921.875000	-31.288246
2937.500000	-32.302189
2953.125000	-34.728996
2968.750000	-37.385326
2984.375000	-39.358532
3000.000000	-40.594570
3015.625000	-41.276474
3031.250000	-41.939766
3046.875000	-42.011200
3062.500000	-41.982182
3078.125000	-41.744987
3093.750000	-41.029274
3109.375000	-40.070484
3125.000000	-38.951668
3140.625000	-36.877819
3156.250000	-34.513470
3171.875000	-32.021229
3187.500000	-30.641472
3203.125000	-31.407326
3218.750000	-33.640678
3234.375000	-35.933311
3250.000000	-37.941303
3265.625000	-39.258633
3281.250000	-40.280037
3296.875000	-41.094582
3312.500000	-41.541035
3328.125000	-41.777500
3343.750000	-41.311050
3359.375000	-40.685364
3375.000000	-39.900089
3390.625000	-38.799667
3406.250000	-37.079643
3421.875000	-35.055695
3437.500000	-32.465275
3453.125000	-30.623869
3468.750000	-31.260700
3484.375000	-33.718826
3500.000000	-36.278561
3515.625000	-38.099209
3531.250000	-39.814499
3546.875000	-40.814686
3562.500000	-41.512707
3578.125000	-42.050873
3593.750000	-42.117821
3609.375000	-41.892372
3625.000000	-41.454464
3640.625000	-40.694355
3656.250000	-39.432602
3671.875000	-37.668797
3687.500000	-35.373753
3703.125000	-32.944904
3718.750000	-31.380129
3734.375000	-31.958990
3750.000000	-34.565693
3765.625000	-37.196842
3781.250000	-39.158417
3796.875000	-40.685139
3812.500000	-41.620716
3828.125000	-42.281639
3843.750000	-42.618065
3859.375000	-42.764027
3875.000000	-42.569420
3890.625000	-42.290237
3906.250000	-41.450195
3921.875000	-39.966442
3937.500000	-38.260197
3953.125000	-36.200912
3968.750000	-33.686600
3984.375000	-32.367146
4000.000000	-33.209270
4015.625000	-35.413422
4031.250000	-37.791859
4046.875000	-39.764812
4062.500000	-41.117607
4078.125000	-42.204514
4093.750000	-43.027969
4109.375000	-43.378181
4125.000000	-43.513077
4140.625000	-43.337402
4156.250000	-42.794693
4171.875000	-41.902134
4187.500000	-40.361816
4203.125000	-38.538765
4218.750000	-36.373402
4234.375000	-33.808208
4250.000000	-32.728481
4265.625000	-33.755093
4281.250000	-36.100315
4296.875000	-38.382626
4312.500000	-40.107098
4328.125000	-41.530193
4343.750000	-42.547482
4359.375000	-43.276588
4375.000000	-43.697048
4390.625000	-43.514824
4406.250000	-43.379288
4421.875000	-42.603550
4437.500000	-41.711418
4453.125000	-40.514267
4468.750000	-38.521076
4484.375000	-36.604122
4500.000000	-34.548294
4515.625000	-33.575882
4531.250000	-34.420883
4546.875000	-36.423748
4562.500000	-38.357296
4578.125000	-40.070755
4593.750000	-41.491859
4609.375000	-42.199009
4625.000000	-43.134220
