Frequency (Hz)	Level (dB)
0.976562	-117.848892
1.953125	-110.629440
2.929688	-103.952698
3.906250	-100.052139
4.882812	-100.074547
5.859375	-96.237518
6.835938	-94.938202
7.812500	-95.872482
8.789062	-94.287376
9.765625	-91.951332
10.742188	-88.650108
11.718750	-87.370766
12.695312	-86.983612
13.671875	-86.797874
14.648438	-87.710899
15.625000	-86.387306
16.601562	-86.583351
17.578125	-87.244911
18.554688	-85.422844
19.531250	-85.361183
20.507812	-84.386398
21.484375	-83.339462
22.460938	-82.500038
23.437500	-82.284752
24.414062	-82.715462
25.390625	-82.697685
26.367188	-82.042999
27.343750	-82.339020
28.320312	-81.856499
29.296875	-81.024178
30.273438	-81.503021
31.250000	-82.735001
32.226562	-83.192825
33.203125	-82.823616
34.179688	-82.767204
35.156250	-81.682175
36.132812	-80.860764
37.109375	-81.373184
38.085938	-82.305222
39.062500	-82.789703
40.039062	-82.078377
41.015625	-81.615471
41.992188	-81.435486
42.968750	-80.979553
43.945312	-80.573242
44.921875	-80.883705
45.898438	-81.048538
46.875000	-80.469604
47.851562	-81.003746
48.828125	-81.407959
49.804688	-81.061279
50.781250	-79.538239
51.757812	-78.917320
52.734375	-79.357925
53.710938	-77.650322
54.687500	-76.713379
55.664062	-76.758354
56.640625	-76.702019
57.617188	-75.782082
58.593750	-75.075844
59.570312	-75.584442
60.546875	-75.668610
61.523438	-74.950783
62.500000	-73.947693
63.476562	-73.782280
64.453125	-76.412628
65.429688	-79.383949
66.406250	-80.460922
67.382812	-79.648323
68.359375	-79.485672
69.335938	-78.193794
70.312500	-77.857513
71.289062	-77.776428
72.265625	-78.298805
73.242188	-77.974014
74.218750	-77.440132
75.195312	-78.606667
76.171875	-79.520988
77.148438	-79.699074
78.125000	-80.457695
79.101562	-80.575043
80.078125	-79.898941
81.054688	-80.753616
82.031250	-81.494164
83.007812	-80.720299
83.984375	-79.195442
84.960938	-78.426117
85.937500	-78.546684
86.914062	-77.698402
87.890625	-78.293762
88.867188	-79.139122
89.843750	-79.746002
90.820312	-79.320625
91.796875	-80.037788
92.773438	-81.037949
93.750000	-81.350883
94.726562	-82.218086
95.703125	-81.758125
96.679688	-81.089165
97.656250	-81.494110
98.632812	-81.286530
99.609375	-81.172775
100.585938	-81.499062
101.562500	-81.056381
102.539062	-80.614098
103.515625	-81.770294
104.492188	-80.364983
105.468750	-80.538261
106.445312	-80.457451
107.421875	-80.947678
108.398438	-81.374641
109.375000	-81.398689
110.351562	-80.608521
111.328125	-80.863762
112.304688	-81.189575
113.281250	-80.119629
114.257812	-78.982147
115.234375	-80.327980
116.210938	-81.000221
117.187500	-81.093803
118.164062	-81.353989
119.140625	-80.765526
120.117188	-80.951096
121.093750	-80.679588
122.070312	-80.917801
123.046875	-80.741402
124.023438	-81.268707
125.000000	-81.857941
125.976562	-82.091637
126.953125	-81.933151
127.929688	-82.077919
128.906250	-81.641045
129.882812	-81.841911
130.859375	-81.884102
131.835938	-81.611557
132.812500	-81.273788
133.789062	-81.299957
134.765625	-81.418480
135.742188	-81.410210
136.718750	-81.376137
137.695312	-81.805511
138.671875	-82.447639
139.648438	-82.661095
140.625000	-82.236351
141.601562	-81.422836
142.578125	-81.451668
143.554688	-81.591270
144.531250	-81.191490
145.507812	-81.054161
146.484375	-80.899071
147.460938	-80.913589
148.437500	-81.222481
149.414062	-81.947861
150.390625	-82.727577
151.367188	-81.012428
152.343750	-81.236969
153.320312	-82.626579
154.296875	-83.457581
155.273438	-82.615852
156.250000	-81.808434
157.226562	-82.585991
158.203125	-83.180229
159.179688	-82.585869
160.156250	-82.229813
161.132812	-83.363159
162.109375	-82.635201
163.085938	-81.817894
164.062500	-81.923721
165.039062	-82.436935
166.015625	-81.581955
166.992188	-82.061653
167.968750	-82.445084
168.945312	-82.593491
169.921875	-82.441246
170.898438	-82.582657
171.875000	-82.625862
172.851562	-82.722122
173.828125	-82.115486
174.804688	-82.191528
