Frequency (Hz)	Level (dB)
15.625000	-73.660576
31.250000	-70.213348
46.875000	-67.116859
62.500000	-65.087090
78.125000	-66.763893
93.750000	-68.121132
109.375000	-68.796181
125.000000	-69.247398
140.625000	-69.561089
156.250000	-69.981827
171.875000	-70.331566
187.500000	-70.717789
203.125000	-70.900726
218.750000	-71.078270
234.375000	-71.221252
250.000000	-71.333603
265.625000	-71.568100
281.250000	-71.765755
296.875000	-71.798103
312.500000	-71.823761
328.125000	-71.789917
343.750000	-71.882820
359.375000	-71.734940
375.000000	-71.734993
390.625000	-71.800873
406.250000	-71.849976
421.875000	-71.557510
437.500000	-71.304924
453.125000	-71.088516
468.750000	-70.946228
484.375000	-70.691994
500.000000	-70.139267
515.625000	-70.007782
531.250000	-69.588219
546.875000	-69.101349
562.500000	-68.618324
578.125000	-68.075378
593.750000	-67.576241
609.375000	-67.252800
625.000000	-66.717621
640.625000	-65.868095
656.250000	-64.984695
671.875000	-63.990734
687.500000	-62.766548
703.125000	-61.487190
718.750000	-60.171375
734.375000	-58.687542
750.000000	-56.763046
765.625000	-54.507832
781.250000	-52.645508
796.875000	-51.077488
812.500000	-50.963154
828.125000	-52.081409
843.750000	-53.877754
859.375000	-55.805721
875.000000	-57.517262
890.625000	-58.826099
906.250000	-59.653553
921.875000	-60.992210
937.500000	-61.764347
953.125000	-62.405148
968.750000	-62.848644
984.375000	-63.550240
1000.000000	-64.057182
1015.625000	-64.322075
1031.250000	-64.789368
1046.875000	-64.977516
1062.500000	-65.168785
1078.125000	-65.288216
1093.750000	-65.278816
1109.375000	-65.282837
1125.000000	-65.264252
1140.625000	-65.284714
1156.250000	-65.579254
1171.875000	-65.940834
1187.500000	-66.106369
1203.125000	-66.200684
1218.750000	-66.102287
1234.375000	-65.888336
1250.000000	-65.321594
1265.625000	-64.920563
1281.250000	-64.722244
1296.875000	-64.603828
1312.500000	-64.203354
1328.125000	-63.725208
1343.750000	-63.095558
1359.375000	-62.562252
1375.000000	-62.143120
1390.625000	-61.361130
1406.250000	-60.304340
1421.875000	-59.357105
1437.500000	-58.296165
1453.125000	-57.254967
1468.750000	-56.035088
1484.375000	-54.542381
1500.000000	-53.064766
1515.625000	-51.721390
1531.250000	-50.599838
1546.875000	-49.891396
1562.500000	-49.584335
1578.125000	-49.282143
1593.750000	-49.459045
1609.375000	-49.960484
1625.000000	-50.588863
1640.625000	-51.655804
1656.250000	-53.079975
1671.875000	-54.689823
1687.500000	-55.599140
1703.125000	-56.499413
1718.750000	-57.383957
1734.375000	-57.953957
1750.000000	-58.394630
1765.625000	-59.066940
1781.250000	-59.811710
1796.875000	-59.887920
1812.500000	-60.163902
1828.125000	-60.140831
1843.750000	-60.268044
1859.375000	-60.607075
1875.000000	-60.825886
1890.625000	-60.726940
1906.250000	-60.560162
1921.875000	-60.616806
1937.500000	-60.648621
1953.125000	-60.363323
1968.750000	-60.110935
1984.375000	-59.963722
2000.000000	-59.769718
2015.625000	-59.568783
2031.250000	-59.139400
2046.875000	-58.695335
2062.500000	-58.194828
2078.125000	-57.578270
2093.750000	-56.918205
2109.375000	-56.485683
2125.000000	-55.986969
2140.625000	-55.128338
2156.250000	-54.046158
2171.875000	-53.113632
2187.500000	-51.751999
2203.125000	-49.980011
2218.750000	-48.443340
2234.375000	-47.599995
2250.000000	-46.700127
2265.625000	-46.068195
2281.250000	-45.589947
2296.875000	-45.405373
2312.500000	-45.678284
2328.125000	-45.762253
2343.750000	-45.912277
2359.375000	-46.057083
2375.000000	-46.162113
2390.625000	-46.477718
2406.250000	-46.971149
2421.875000	-47.517136
2437.500000	-48.670704
2453.125000	-49.877625
2468.750000	-51.138653
2484.375000	-51.844139
2500.000000	-52.417473
2515.625000	-53.065102
2531.250000	-53.758430
2546.875000	-54.169495
2562.500000	-54.150299
2578.125000	-54.484413
2593.750000	-54.932541
2609.375000	-55.125893
2625.000000	-54.911297
2640.625000	-54.976463
2656.250000	-55.214184
2671.875000	-55.225113
2687.500000	-55.232090
2703.125000	-55.230175
2718.750000	-55.024174
2734.375000	-54.940166
2750.000000	-54.567184
2765.625000	-54.169327
2781.250000	-53.893017
2796.875000	-53.479881
2812.500000	-52.950417
2828.125000	-52.556404
2843.750000	-52.019341
2859.375000	-51.360062
2875.000000	-50.403072
2890.625000	-49.521515
2906.250000	-48.435448
2921.875000	-47.730606
2937.500000	-46.596943
2953.125000	-45.101719
2968.750000	-44.109859
2984.375000	-43.615089
3000.000000	-42.939610
3015.625000	-42.495766
3031.250000	-42.397499
3046.875000	-42.008617
3062.500000	-41.987198
3078.125000	-42.216873
3093.750000	-42.340870
3109.375000	-42.344505
3125.000000	-42.768406
3140.625000	-42.770184
3156.250000	-43.163666
3171.875000	-43.910297
3187.500000	-44.674442
3203.125000	-45.518421
3218.750000	-46.218002
3234.375000	-47.184589
3250.000000	-48.085995
3265.625000	-48.583523
3281.250000	-49.018852
3296.875000	-49.796143
3312.500000	-50.371185
3328.125000	-50.905865
3343.750000	-51.044373
3359.375000	-51.262493
3375.000000	-51.510288
3390.625000	-51.872501
3406.250000	-52.015369
3421.875000	-52.234051
3437.500000	-52.313755
3453.125000	-52.067612
3468.750000	-52.152874
3484.375000	-52.160999
3500.000000	-52.036808
3515.625000	-51.783455
3531.250000	-51.666367
3546.875000	-51.389278
3562.500000	-50.993164
3578.125000	-50.918957
3593.750000	-50.586285
3609.375000	-50.110283
3625.000000	-49.434555
3640.625000	-48.532181
3656.250000	-48.086342
3671.875000	-47.006321
3687.500000	-46.028015
3703.125000	-45.003654
3718.750000	-43.925213
3734.375000	-43.303154
3750.000000	-43.484299
3765.625000	-43.169426
3781.250000	-42.999664
3796.875000	-43.071884
3812.500000	-43.031689
3828.125000	-42.947571
3843.750000	-42.966377
3859.375000	-43.111168
3875.000000	-43.210094
3890.625000	-43.568287
3906.250000	-43.916649
3921.875000	-44.038651
3937.500000	-44.380749
3953.125000	-45.195549
3968.750000	-45.949062
3984.375000	-46.735870
4000.000000	-47.753838
4015.625000	-48.670895
4031.250000	-49.585964
4046.875000	-50.382996
4062.500000	-51.193417
4078.125000	-51.984760
4093.750000	-52.781925
4109.375000	-53.289059
4125.000000	-53.747757
4140.625000	-54.156761
4156.250000	-54.485699
4171.875000	-54.723621
4187.500000	-54.727982
4203.125000	-54.750843
4218.750000	-54.828239
4234.375000	-54.876736
4250.000000	-54.881451
4265.625000	-54.839481
4281.250000	-54.874954
4296.875000	-54.721043
4312.500000	-54.484966
4328.125000	-54.273273
4343.750000	-53.910839
4359.375000	-53.631363
4375.000000	-53.079288
4390.625000	-52.056309
4406.250000	-51.431198
4421.875000	-50.361000
4437.500000	-49.629601
4453.125000	-48.864346
4468.750000	-48.062542
4484.375000	-47.692680
4500.000000	-47.398613
4515.625000	-47.288048
4531.250000	-47.289700
4546.875000	-47.253662
4562.500000	-47.228165
4578.125000	-47.353981
4593.750000	-47.431160
4609.375000	-47.444962
4625.000000	-47.797783
4640.625000	-47.855450
4656.250000	-48.062054
4671.875000	-48.440811
4687.500000	-48.581860
4703.125000	-48.862350
4718.750000	-49.190968
4734.375000	-49.595448
4750.000000	-50.146259
4765.625000	-50.709557
4781.250000	-51.216145
4796.875000	-52.336624
4812.500000	-53.282963
4828.125000	-53.931301
4843.750000	-54.808964
4859.375000	-55.775406
4875.000000	-56.037888
4890.625000	-56.425648
4906.250000	-56.991589
4921.875000	-57.477345
4937.500000	-57.607151
4953.125000	-57.816708
4968.750000	-57.862972
4984.375000	-58.221516
5000.000000	-58.184261
5015.625000	-58.156944
5031.250000	-58.058128
5046.875000	-57.805836
5062.500000	-57.788647
5078.125000	-57.458073
5093.750000	-56.995571
5109.375000	-56.555244
5125.000000	-55.926865
5140.625000	-55.212776
5156.250000	-54.218689
5171.875000	-53.455730
5187.500000	-52.884644
5203.125000	-51.795830
5218.750000	-51.095070
5234.375000	-50.619499
5250.000000	-50.815716
5265.625000	-50.766731
5281.250000	-50.958714
5296.875000	-50.883656
5312.500000	-50.964401
5328.125000	-51.083885
5343.750000	-51.045162
5359.375000	-51.095242
5375.000000	-51.429108
5390.625000	-52.041031
5406.250000	-51.773991
5421.875000	-51.589806
5437.500000	-51.980110
5453.125000	-51.951187
5468.750000	-52.106270
5484.375000	-52.492397
5500.000000	-52.828678
5515.625000	-52.772453
5531.250000	-53.029732
5546.875000	-53.791859
5562.500000	-54.507851
5578.125000	-54.934006
5593.750000	-55.724991
5609.375000	-56.277744
5625.000000	-57.068253
5640.625000	-58.258625
5656.250000	-58.468391
5671.875000	-58.891270
5687.500000	-59.309212
5703.125000	-59.476013
5718.750000	-59.818970
5734.375000	-60.116703
5750.000000	-60.185356
5765.625000	-60.284187
5781.250000	-60.214272
5796.875000	-59.896160
5812.500000	-59.640656
5828.125000	-59.430752
5843.750000	-59.024139
5859.375000	-58.545326
5875.000000	-58.004013
5890.625000	-57.532032
5906.250000	-56.943707
5921.875000	-55.925770
5937.500000	-55.109268
5953.125000	-54.740528
5968.750000	-54.556973
5984.375000	-54.310661
6000.000000	-54.130520
6015.625000	-53.916164
6031.250000	-54.001453
6046.875000	-54.087082
6062.500000	-54.058376
6078.125000	-54.127762
6093.750000	-54.194515
6109.375000	-54.232300
6125.000000	-54.301983
6140.625000	-54.733643
6156.250000	-54.849087
6171.875000	-55.116364
6187.500000	-55.344334
6203.125000	-55.389744
6218.750000	-55.581638
6234.375000	-56.033985
6250.000000	-55.913624
6265.625000	-56.190552
6281.250000	-56.544842
6296.875000	-56.703777
6312.500000	-57.292923
6328.125000	-57.728771
6343.750000	-57.855167
6359.375000	-58.646015
6375.000000	-59.277725
6390.625000	-60.082127
6406.250000	-61.039700
6421.875000	-61.858608
6437.500000	-62.562664
6453.125000	-63.088593
6468.750000	-63.611164
6484.375000	-64.167572
6500.000000	-64.160690
6515.625000	-64.357857
6531.250000	-64.570343
6546.875000	-64.847023
6562.500000	-64.567429
6578.125000	-64.488426
6593.750000	-64.145622
6609.375000	-64.000931
6625.000000	-63.897800
6640.625000	-63.431576
6656.250000	-63.049793
6671.875000	-62.922703
6687.500000	-62.498737
6703.125000	-62.484631
6718.750000	-62.281902
6734.375000	-62.397999
6750.000000	-62.206829
6765.625000	-62.325199
6781.250000	-62.728107
6796.875000	-62.971664
6812.500000	-63.487583
6828.125000	-63.769672
6843.750000	-64.194855
6859.375000	-64.574699
6875.000000	-64.990837
6890.625000	-65.572990
6906.250000	-65.721535
6921.875000	-66.140350
6937.500000	-66.878098
6953.125000	-67.616013
6968.750000	-68.026695
6984.375000	-68.655312
7000.000000	-69.213898
7015.625000	-69.446930
7031.250000	-70.203415
7046.875000	-70.877190
7062.500000	-71.674164
7078.125000	-72.157890
7093.750000	-72.844696
7109.375000	-73.616440
7125.000000	-74.765350
7140.625000	-75.443832
7156.250000	-76.482567
7171.875000	-77.574455
7187.500000	-78.626442
7203.125000	-79.738953
7218.750000	-80.754097
7234.375000	-81.681427
7250.000000	-82.641525
7265.625000	-83.418327
7281.250000	-83.996208
7296.875000	-84.348198
7312.500000	-85.012077
7328.125000	-85.551086
7343.750000	-85.741859
7359.375000	-86.019875
7375.000000	-86.306786
7390.625000	-86.801521
7406.250000	-86.892006
7421.875000	-86.898270
7437.500000	-87.001793
7453.125000	-87.780838
7468.750000	-88.598900
7484.375000	-89.138863
7500.000000	-89.671829
7515.625000	-90.599892
7531.250000	-91.888000
7546.875000	-92.467125
7562.500000	-93.372749
7578.125000	-94.531898
7593.750000	-95.516571
7609.375000	-96.666809
7625.000000	-97.843254
7640.625000	-99.352249
7656.250000	-101.022415
7671.875000	-102.667961
7687.500000	-104.456902
7703.125000	-106.582520
7718.750000	-108.978233
7734.375000	-111.462540
7750.000000	-114.259521
7765.625000	-117.381828
7781.250000	-120.836807
7796.875000	-124.548950
7812.500000	-128.678162
7828.125000	-133.238098
7843.750000	-137.965225
7859.375000	-143.342010
7875.000000	-149.420105
7890.625000	-155.578476
7906.250000	-162.003021
7921.875000	-166.733032
7937.500000	-168.953461
7953.125000	-169.349350
7968.750000	-169.523468
7984.375000	-169.623306
