Frequency (Hz)	Level (dB)
0.976562	-107.345528
1.953125	-106.430191
2.929688	-104.038322
3.906250	-100.817589
4.882812	-100.089775
5.859375	-96.791946
6.835938	-95.226761
7.812500	-96.205513
8.789062	-94.392342
9.765625	-92.812515
10.742188	-90.207283
11.718750	-88.793709
12.695312	-88.981255
13.671875	-88.762993
14.648438	-88.255814
15.625000	-88.736122
16.601562	-88.820328
17.578125	-88.290649
18.554688	-87.287132
19.531250	-88.299706
20.507812	-87.518257
21.484375	-85.634735
22.460938	-85.013123
23.437500	-85.342453
24.414062	-85.624702
25.390625	-85.594269
26.367188	-84.306221
27.343750	-84.236092
28.320312	-84.319656
29.296875	-83.912735
30.273438	-83.677666
31.250000	-84.621201
32.226562	-85.026405
33.203125	-85.064217
34.179688	-84.945023
35.156250	-84.414948
36.132812	-83.696335
37.109375	-83.759102
38.085938	-85.270889
39.062500	-86.028496
40.039062	-84.812584
41.015625	-84.925674
41.992188	-84.055122
42.968750	-84.143524
43.945312	-84.468941
44.921875	-83.306671
45.898438	-83.617020
46.875000	-83.782364
47.851562	-83.163895
48.828125	-83.036652
49.804688	-82.143387
50.781250	-81.965553
51.757812	-82.926201
52.734375	-81.252342
53.710938	-80.770035
54.687500	-81.002968
55.664062	-80.269905
56.640625	-80.272156
57.617188	-80.248726
58.593750	-78.973770
59.570312	-77.624199
60.546875	-78.920929
61.523438	-78.821037
62.500000	-78.352783
63.476562	-78.679924
64.453125	-80.356171
65.429688	-81.481735
66.406250	-80.929535
67.382812	-81.310249
68.359375	-82.230759
69.335938	-81.065254
70.312500	-80.346855
71.289062	-80.319153
72.265625	-81.039253
73.242188	-80.814285
74.218750	-79.658669
75.195312	-79.452232
76.171875	-79.726624
77.148438	-79.572441
78.125000	-79.605110
79.101562	-80.587578
80.078125	-80.399704
81.054688	-80.336197
82.031250	-80.578102
83.007812	-79.706139
83.984375	-78.961571
84.960938	-79.021217
85.937500	-79.701477
86.914062	-79.582001
87.890625	-79.580521
88.867188	-79.061317
89.843750	-78.483078
90.820312	-78.784317
91.796875	-78.467728
92.773438	-77.867546
93.750000	-78.062874
94.726562	-79.207275
95.703125	-78.470482
96.679688	-78.043175
97.656250	-77.748428
98.632812	-77.460808
99.609375	-78.095177
100.585938	-78.577362
101.562500	-77.332329
102.539062	-77.413727
103.515625	-78.780899
104.492188	-77.990906
105.468750	-77.673759
106.445312	-77.540916
107.421875	-77.666260
108.398438	-77.559128
109.375000	-76.369171
110.351562	-76.021904
111.328125	-76.632217
112.304688	-76.833633
113.281250	-75.298935
114.257812	-75.050499
115.234375	-74.536835
116.210938	-74.528099
117.187500	-74.006264
118.164062	-69.160820
119.140625	-67.819527
120.117188	-68.050652
121.093750	-69.984535
122.070312	-68.137550
123.046875	-72.343239
124.023438	-73.873817
125.000000	-74.374420
125.976562	-74.702362
126.953125	-73.953125
127.929688	-73.856644
128.906250	-73.174026
129.882812	-72.725456
130.859375	-73.050850
131.835938	-73.293427
132.812500	-72.427765
133.789062	-71.577095
134.765625	-71.695526
135.742188	-71.341698
136.718750	-71.915337
137.695312	-71.832260
138.671875	-71.520554
139.648438	-70.899048
140.625000	-70.745880
141.601562	-69.355354
142.578125	-68.585144
143.554688	-68.216156
144.531250	-68.106987
145.507812	-68.344498
146.484375	-68.232635
147.460938	-67.648895
148.437500	-67.475304
149.414062	-67.674988
150.390625	-65.927544
151.367188	-64.720963
152.343750	-64.944160
153.320312	-64.573837
154.296875	-65.273155
155.273438	-64.959686
156.250000	-63.608894
157.226562	-63.151096
158.203125	-62.487034
159.179688	-62.130020
160.156250	-62.538013
161.132812	-63.829941
162.109375	-63.407864
163.085938	-62.267387
164.062500	-61.940987
165.039062	-62.530190
166.015625	-62.135757
166.992188	-61.888355
167.968750	-62.197395
168.945312	-62.145977
169.921875	-62.331005
170.898438	-62.649410
171.875000	-62.844837
172.851562	-63.248848
173.828125	-62.922832
174.804688	-63.475105
175.781250	-64.106926
176.757812	-63.630852
177.734375	-64.732582
178.710938	-63.562424
