Frequency (Hz)	Level (dB)
15.625000	-75.989250
31.250000	-72.847076
46.875000	-70.342659
62.500000	-68.151749
78.125000	-67.690514
93.750000	-66.333969
109.375000	-62.345371
125.000000	-59.634117
140.625000	-56.449501
156.250000	-52.213036
171.875000	-51.436974
187.500000	-54.594120
203.125000	-58.362236
218.750000	-60.303833
234.375000	-61.141628
250.000000	-61.270878
265.625000	-60.876125
281.250000	-59.531925
296.875000	-57.086487
312.500000	-53.535442
328.125000	-49.647682
343.750000	-49.478191
359.375000	-53.101410
375.000000	-56.788914
390.625000	-58.939152
406.250000	-60.069302
421.875000	-60.082733
437.500000	-59.249393
453.125000	-57.509182
468.750000	-54.454903
484.375000	-49.125931
500.000000	-46.145065
515.625000	-48.566723
531.250000	-53.440449
546.875000	-56.610447
562.500000	-58.048698
578.125000	-58.582211
593.750000	-58.449924
609.375000	-57.706638
625.000000	-55.780628
640.625000	-51.763515
656.250000	-46.589561
671.875000	-45.008793
687.500000	-48.528370
703.125000	-53.355965
718.750000	-56.046509
734.375000	-57.472488
750.000000	-57.702625
765.625000	-56.969711
781.250000	-55.627621
796.875000	-52.577488
812.500000	-47.397564
828.125000	-43.085091
843.750000	-44.333904
859.375000	-49.826065
875.000000	-53.859055
890.625000	-55.668373
906.250000	-56.104900
921.875000	-56.312729
937.500000	-55.416897
953.125000	-53.514854
968.750000	-49.952320
984.375000	-44.257538
1000.000000	-41.397255
1015.625000	-44.185444
1031.250000	-49.777470
1046.875000	-52.927311
1062.500000	-54.408344
1078.125000	-54.855522
1093.750000	-54.335976
1109.375000	-53.089596
1125.000000	-50.618427
1140.625000	-46.273685
1156.250000	-41.248249
1171.875000	-41.042324
1187.500000	-45.958809
1203.125000	-50.699097
1218.750000	-53.061291
1234.375000	-54.061604
1250.000000	-53.884983
1265.625000	-53.108429
1281.250000	-51.711056
1296.875000	-48.847912
1312.500000	-42.922440
1328.125000	-38.763977
1343.750000	-40.688526
1359.375000	-46.378551
1375.000000	-50.206810
1390.625000	-52.041191
1406.250000	-52.408184
1421.875000	-52.200165
1437.500000	-51.016670
1453.125000	-48.892040
1468.750000	-44.905121
1484.375000	-38.951233
1500.000000	-37.160637
1515.625000	-41.271866
1531.250000	-46.519161
1546.875000	-49.003765
1562.500000	-50.373299
1578.125000	-50.392242
1593.750000	-49.795456
1609.375000	-48.516384
1625.000000	-45.689613
1640.625000	-40.294388
1656.250000	-35.390820
