Frequency (Hz)	Level (dB)
0.976562	-40.437496
1.953125	-40.659512
2.929688	-41.960728
3.906250	-41.854828
4.882812	-40.725399
5.859375	-40.909760
6.835938	-41.363499
7.812500	-42.075855
8.789062	-40.984627
9.765625	-40.896099
10.742188	-41.815582
11.718750	-41.752312
12.695312	-41.089272
13.671875	-41.077248
14.648438	-41.811794
15.625000	-41.935364
16.601562	-41.872509
17.578125	-42.133556
18.554688	-41.281845
19.531250	-41.190853
20.507812	-40.948288
21.484375	-40.689491
22.460938	-41.020370
23.437500	-41.123741
24.414062	-41.540733
25.390625	-41.014050
26.367188	-40.853321
27.343750	-41.213058
28.320312	-41.405209
29.296875	-41.834057
30.273438	-41.368507
31.250000	-41.283005
32.226562	-41.450459
33.203125	-41.648338
34.179688	-41.491646
35.156250	-41.340496
36.132812	-40.420219
37.109375	-40.500694
38.085938	-42.010426
39.062500	-41.385014
40.039062	-41.415310
41.015625	-42.014862
41.992188	-41.598305
42.968750	-40.904083
43.945312	-41.342590
44.921875	-40.645599
45.898438	-41.313026
46.875000	-41.697090
47.851562	-41.224678
48.828125	-41.060520
49.804688	-40.805218
50.781250	-40.803799
51.757812	-41.465553
52.734375	-40.467903
53.710938	-40.911934
54.687500	-40.252934
55.664062	-40.333370
56.640625	-41.010731
57.617188	-40.842545
58.593750	-40.938488
59.570312	-41.339703
60.546875	-41.223923
61.523438	-42.100384
62.500000	-41.850231
63.476562	-40.656452
64.453125	-40.520947
65.429688	-40.407124
66.406250	-40.484367
67.382812	-40.698971
68.359375	-41.283360
69.335938	-40.831234
70.312500	-40.607735
71.289062	-40.682377
72.265625	-41.484699
73.242188	-41.063713
74.218750	-40.823307
75.195312	-40.883636
76.171875	-41.246883
77.148438	-40.686047
78.125000	-40.976372
79.101562	-41.268990
80.078125	-41.013725
81.054688	-41.118660
82.031250	-41.186417
83.007812	-41.168457
83.984375	-40.953571
84.960938	-40.414677
85.937500	-41.134262
86.914062	-40.967892
87.890625	-41.220551
88.867188	-41.339527
89.843750	-40.504169
90.820312	-40.347996
91.796875	-41.256870
92.773438	-40.899208
93.750000	-40.585129
94.726562	-41.360115
95.703125	-40.391502
96.679688	-39.911289
97.656250	-40.452080
98.632812	-40.006229
99.609375	-40.146832
100.585938	-40.539165
101.562500	-39.846172
102.539062	-40.187332
103.515625	-41.820030
104.492188	-40.885654
105.468750	-41.343445
