Frequency (Hz)	Level (dB)
15.625000	-29.258833
31.250000	-29.176601
46.875000	-28.927746
62.500000	-28.889269
78.125000	-28.816301
93.750000	-28.619726
109.375000	-28.771002
125.000000	-28.889288
140.625000	-28.821762
156.250000	-29.110350
171.875000	-29.177616
187.500000	-29.285091
203.125000	-29.205278
218.750000	-29.082584
234.375000	-29.086885
250.000000	-28.936480
265.625000	-28.983706
281.250000	-29.013426
296.875000	-28.961584
312.500000	-29.065149
328.125000	-28.944952
343.750000	-29.018793
359.375000	-29.073008
375.000000	-28.951979
390.625000	-29.036339
406.250000	-29.098888
421.875000	-28.974045
437.500000	-28.976801
453.125000	-29.026337
468.750000	-29.048632
484.375000	-28.981039
500.000000	-28.858639
515.625000	-29.162233
531.250000	-28.950916
546.875000	-28.840679
562.500000	-28.800430
578.125000	-28.760870
593.750000	-28.859631
609.375000	-29.068859
625.000000	-29.228170
640.625000	-29.162819
656.250000	-29.203884
671.875000	-29.148855
687.500000	-28.996952
703.125000	-28.923252
718.750000	-28.871843
734.375000	-28.984125
750.000000	-29.224766
765.625000	-28.927717
781.250000	-29.015038
796.875000	-28.937166
812.500000	-28.895657
828.125000	-28.968819
843.750000	-29.009516
859.375000	-28.980087
875.000000	-29.138308
890.625000	-28.996370
906.250000	-28.810226
921.875000	-29.090010
937.500000	-29.082460
953.125000	-29.096096
968.750000	-28.858906
984.375000	-29.037031
1000.000000	-29.094713
1015.625000	-29.010771
1031.250000	-29.184053
1046.875000	-29.141903
1062.500000	-29.242254
1078.125000	-29.224291
1093.750000	-29.032364
1109.375000	-29.066269
1125.000000	-28.973864
1140.625000	-28.887253
1156.250000	-28.983318
1171.875000	-28.996546
1187.500000	-28.905718
1203.125000	-29.102598
1218.750000	-29.097973
1234.375000	-29.071630
1250.000000	-28.960695
1265.625000	-28.932600
1281.250000	-29.100027
1296.875000	-29.336081
1312.500000	-29.208206
1328.125000	-29.022200
1343.750000	-29.010530
1359.375000	-29.140736
1375.000000	-29.271393
1390.625000	-29.074192
1406.250000	-28.874994
1421.875000	-29.057562
1437.500000	-28.991590
1453.125000	-29.059443
1468.750000	-29.106939
1484.375000	-29.121773
1500.000000	-28.911226
1515.625000	-29.049212
1531.250000	-29.064499
1546.875000	-29.042879
1562.500000	-29.035961
1578.125000	-28.871996
1593.750000	-28.957052
1609.375000	-28.996004
1625.000000	-28.841242
1640.625000	-28.797876
1656.250000	-28.847248
1671.875000	-29.134857
1687.500000	-29.162258
1703.125000	-29.019403
1718.750000	-29.286507
1734.375000	-29.139641
1750.000000	-28.948635
1765.625000	-29.043318
1781.250000	-29.188879
1796.875000	-29.109943
1812.500000	-29.130253
1828.125000	-28.821363
1843.750000	-28.771645
1859.375000	-29.164185
1875.000000	-29.165833
1890.625000	-29.032076
1906.250000	-28.814735
1921.875000	-28.980947
1937.500000	-29.119846
1953.125000	-28.937057
1968.750000	-28.855177
1984.375000	-28.929691
2000.000000	-29.064640
2015.625000	-29.111555
2031.250000	-29.093969
2046.875000	-29.031178
2062.500000	-28.991476
2078.125000	-28.954220
2093.750000	-28.843233
2109.375000	-28.968058
2125.000000	-28.958513
2140.625000	-29.119169
2156.250000	-29.258797
2171.875000	-29.286400
2187.500000	-29.194075
2203.125000	-28.935575
2218.750000	-28.689734
2234.375000	-28.847307
2250.000000	-29.034378
2265.625000	-28.955471
2281.250000	-28.864651
2296.875000	-28.910187
2312.500000	-29.215065
2328.125000	-29.102213
2343.750000	-29.161882
2359.375000	-29.225647
2375.000000	-29.180527
2390.625000	-29.069263
2406.250000	-28.744322
2421.875000	-28.731117
2437.500000	-28.978333
2453.125000	-28.981619
2468.750000	-29.026094
2484.375000	-29.047688
2500.000000	-28.770802
2515.625000	-28.877131
2531.250000	-29.089745
2546.875000	-29.092434
2562.500000	-28.956287
2578.125000	-29.029284
2593.750000	-28.997013
2609.375000	-29.014332
2625.000000	-28.765730
2640.625000	-28.858452
2656.250000	-29.021969
2671.875000	-28.932447
2687.500000	-29.028473
2703.125000	-29.090130
2718.750000	-29.059410
2734.375000	-29.255043
2750.000000	-29.120232
2765.625000	-28.888273
2781.250000	-28.920572
2796.875000	-29.020638
2812.500000	-28.983379
2828.125000	-29.041302
2843.750000	-29.127178
2859.375000	-29.089739
2875.000000	-28.987982
2890.625000	-28.918631
2906.250000	-28.831354
2921.875000	-28.992216
2937.500000	-29.109688
2953.125000	-29.106827
2968.750000	-29.265747
2984.375000	-29.337999
3000.000000	-29.229647
3015.625000	-29.027967
3031.250000	-29.118872
3046.875000	-28.944904
3062.500000	-28.942167
3078.125000	-29.029911
3093.750000	-28.937353
3109.375000	-28.868732
3125.000000	-29.133217
3140.625000	-28.868671
3156.250000	-28.780052
3171.875000	-28.945349
3187.500000	-29.062538
3203.125000	-29.170671
3218.750000	-29.068237
3234.375000	-28.932060
3250.000000	-28.973980
3265.625000	-28.814655
3281.250000	-28.869213
3296.875000	-28.985731
3312.500000	-29.066547
3328.125000	-29.231380
3343.750000	-28.968655
3359.375000	-28.847250
3375.000000	-28.867846
3390.625000	-29.003601
3406.250000	-28.957649
3421.875000	-29.169697
3437.500000	-29.171457
3453.125000	-28.860203
3468.750000	-28.936180
3484.375000	-29.051840
3500.000000	-29.056984
3515.625000	-28.875433
3531.250000	-29.093126
3546.875000	-28.991066
3562.500000	-28.977167
3578.125000	-29.097071
3593.750000	-29.040440
3609.375000	-28.985022
3625.000000	-29.036051
3640.625000	-29.058069
3656.250000	-28.965334
3671.875000	-28.909079
3687.500000	-28.845041
3703.125000	-28.939407
3718.750000	-28.931355
3734.375000	-28.929550
3750.000000	-29.259197
3765.625000	-29.210772
3781.250000	-29.166279
3796.875000	-29.164099
3812.500000	-29.012608
3828.125000	-28.949987
3843.750000	-28.901993
3859.375000	-28.942440
3875.000000	-28.930214
3890.625000	-29.131750
3906.250000	-29.125124
3921.875000	-28.887737
3937.500000	-28.840599
3953.125000	-29.052624
3968.750000	-29.066603
3984.375000	-29.118053
4000.000000	-29.206194
4015.625000	-29.049385
4031.250000	-28.999723
4046.875000	-28.943222
4062.500000	-28.851648
4078.125000	-28.933846
4093.750000	-29.079229
4109.375000	-29.088335
4125.000000	-29.163887
4140.625000	-29.184769
4156.250000	-29.186066
4171.875000	-29.166771
4187.500000	-28.894133
4203.125000	-28.773994
4218.750000	-28.860853
4234.375000	-28.711695
4250.000000	-28.818066
4265.625000	-29.021856
4281.250000	-29.134871
4296.875000	-29.057894
4312.500000	-28.913784
4328.125000	-28.982515
4343.750000	-29.025576
4359.375000	-29.128929
4375.000000	-29.242325
4390.625000	-29.036867
4406.250000	-29.155920
4421.875000	-28.978828
4437.500000	-28.962194
4453.125000	-29.102674
4468.750000	-28.835863
4484.375000	-29.036383
4500.000000	-29.152063
4515.625000	-29.178722
4531.250000	-29.095165
4546.875000	-28.989038
4562.500000	-28.756632
4578.125000	-28.797316
4593.750000	-28.901978
4609.375000	-28.754700
4625.000000	-29.160223
4640.625000	-29.035049
4656.250000	-29.085594
4671.875000	-29.184755
4687.500000	-29.199299
4703.125000	-29.176319
4718.750000	-29.301006
4734.375000	-29.193897
4750.000000	-29.198107
4765.625000	-29.228504
4781.250000	-29.031668
4796.875000	-29.165312
4812.500000	-29.102489
4828.125000	-28.967932
4843.750000	-29.189581
4859.375000	-29.255472
4875.000000	-28.995371
4890.625000	-28.995712
4906.250000	-29.010557
4921.875000	-29.208778
4937.500000	-29.068834
4953.125000	-29.110149
4968.750000	-28.877251
4984.375000	-29.071772
5000.000000	-29.113413
5015.625000	-29.108362
5031.250000	-29.176561
5046.875000	-29.226566
5062.500000	-29.282475
5078.125000	-29.155033
5093.750000	-29.091280
5109.375000	-29.182369
5125.000000	-28.966116
5140.625000	-28.977888
5156.250000	-29.065725
5171.875000	-29.037933
5187.500000	-29.091661
5203.125000	-28.961226
5218.750000	-28.789982
